Model,MAE,RMSE,MAPE,sMAPE,R2
LightGBM,7.4462017567482714,8.902064800974381,0.04468181792334023,0.046054251540307345,0.6918061948566441
LinearRegression,4.6930661706193595,5.956156054097861,0.02890179228785529,0.029210327987129327,0.8620332169070196
RandomForest,7.2280237961488565,8.852201226363517,0.04322107784589092,0.04438687974481711,0.6952491275619495
XGBoost,8.708475096891277,9.961392100149547,0.05262453212753276,0.054451804437476395,0.6140931633411433
