time_idx,group_id,electricity_demand,hour,day_of_week,solar_generation,wind_generation,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
67,single,182424.454,0.0,5.0,-3.111,4606.711,185972.454,208951.306,181682.61,183503.25125,12780.970688289406,182919.64258333333,18378.29345377739
68,single,178272.626,1.0,5.0,-3.028,5758.042,182424.454,205229.778,177322.558,182397.96575,11574.643271757901,182924.05832142857,18378.08357310564
69,single,172300.124,2.0,5.0,-3.085,6488.462,178272.626,198033.1,171670.36800000002,181274.7510833333,10522.878897927036,182929.7134880952,18376.495705298756
70,single,163970.298,3.0,5.0,-3.016,6267.062,172300.124,187389.344,163739.53,180202.54374999998,10041.052980912998,182933.4620357143,18374.24929700229
71,single,154619.692,4.0,5.0,-3.0,6087.292,163970.298,177491.548,154676.196,179226.7501666667,10442.194263090878,182934.8356547619,18372.814377882245
72,single,147128.64,5.0,5.0,-2.894,6251.834,154619.692,170424.19199999998,147014.646,178273.75616666666,11588.23677769943,182934.49932142856,18373.33528887604
73,single,141772.258,6.0,5.0,-2.988,7029.027,147128.64,166000.908,142087.986,177303.10816666667,13145.33666633456,182935.17785714284,18372.002865467304
74,single,139309.154,7.0,5.0,-2.957,7859.631,141772.258,163543.39,139400.30599999998,176293.58108333335,14868.465691187632,182933.29852380953,18376.22194501716
75,single,137433.084,8.0,5.0,-3.065,6883.213,139309.154,162786.804,137770.04,175283.82125,16504.872761580482,182932.75595238095,18377.51628529386
76,single,137606.83000000002,9.0,5.0,-2.969,6657.405,137433.084,165603.806,138401.7,174227.41625,18076.128921137293,182930.75026190476,18382.49249486376
77,single,140426.246,10.0,5.0,-2.862,6858.346,137606.83000000002,174163.22999999998,141309.864,173060.87558333334,19503.85593793135,182926.01889285713,18394.120828173025
78,single,145502.734,11.0,5.0,-3.307,6422.933,140426.246,188431.036,146545.174,171655.1679166667,20605.60143770194,182920.75926190475,18406.214199650785
79,single,151478.806,12.0,5.0,16.212,6687.626,145502.734,197501.786,152880.426,169866.48866666667,20946.43658685881,182914.55426190476,18418.721824181106
80,single,155996.994,13.0,5.0,192.417,7255.094,151478.806,196529.374,158638.158,167948.8645,20406.165060851115,182906.2112857143,18432.71971900148
81,single,159258.122,14.0,5.0,448.884,7067.774,155996.994,193457.634,163848.61,166260.01533333334,19599.262160323768,182890.4900714286,18454.655082590616
82,single,160875.016,15.0,5.0,584.711,6686.486,159258.122,190855.674,167587.176,164835.03566666666,18761.196328051938,182863.16573809524,18486.38879868368
83,single,160677.308,16.0,5.0,716.959,6228.339,160875.016,186722.282,169051.294,163585.84158333333,17933.15328133359,182823.2124047619,18526.810483833575
84,single,159530.326,17.0,5.0,692.873,6120.417,160677.308,183222.41,168663.666,162500.63433333332,17247.122242517777,182773.36724999998,18575.286195888097
85,single,158251.868,18.0,5.0,520.554,6297.779,159530.326,180305.486,168008.696,161513.46416666667,16678.151310617413,182719.0021309524,18630.11352852979
86,single,156656.918,19.0,5.0,368.135,6724.051,158251.868,178131.122,166828.262,160594.56341666667,16198.402571625305,182660.92577380952,18691.352131069445
87,single,156184.668,20.0,5.0,204.127,6428.111,156656.918,177012.632,167550.794,159699.80491666668,15775.172558812345,182600.3820595238,18759.292946058024
88,single,159174.474,21.0,5.0,45.676,5827.533,156184.668,179882.59,171786.132,158831.97308333335,15348.469161351211,182532.72654761907,18834.240678627186
89,single,166749.36,22.0,5.0,-2.723,5429.521,159174.474,186436.144,179358.626,157969.1349166667,14681.188362916402,182457.65715476192,18902.341486339577
90,single,167472.856,23.0,5.0,-2.874,5396.64,166749.36,185972.454,180714.966,157148.85225,13526.030827673081,182382.602,18939.71716291093
91,single,164704.846,0.0,6.0,-3.087,5440.072,167472.856,182424.454,178829.148,156378.03566666666,12281.934360360608,182303.77991666668,18974.222624566737
92,single,161112.664,1.0,6.0,-2.997,5153.529,164704.846,178272.626,177125.532,155639.71866666668,11126.336054709034,182219.7066904762,19020.944912353232
93,single,156117.496,2.0,6.0,-2.968,4946.449,161112.664,172300.124,173716.294,154924.72024999998,10113.97748416745,182124.39200000002,19086.632003834904
94,single,149774.12,3.0,6.0,-2.919,5060.578,156117.496,163970.298,168892.17,154250.44408333334,9420.91782382602,182019.63725,19181.115809677507
95,single,142513.49,4.0,6.0,-2.971,5212.159,149774.12,154619.692,162438.994,153658.93666666668,9227.792857209128,181905.83933333334,19315.704635681304
96,single,135529.276,5.0,6.0,-3.012,4673.759,142513.49,147128.64,156666.882,153154.51158333334,9499.864900627843,181787.23514285716,19496.282814931685
97,single,131523.976,6.0,6.0,-2.986,3983.14,135529.276,141772.258,153233.694,152671.20475,10096.109261664627,181661.4160595238,19726.217304786704
98,single,129138.616,7.0,6.0,-2.811,3557.038,131523.976,139309.154,151818.638,152244.193,10771.267774589622,181532.19154761903,19982.99748776159
99,single,127705.572,8.0,6.0,-2.958,3484.256,129138.616,137433.084,151513.148,151820.42058333333,11479.106310764837,181397.19141666667,20259.63231896028
100,single,127783.24,9.0,6.0,-2.973,2676.123,127705.572,137606.83000000002,153222.976,151415.10758333333,12160.690519799875,181255.4796547619,20551.084490655343
101,single,130244.662,10.0,6.0,-2.914,2244.605,127783.24,140426.246,156655.266,151005.79133333333,12794.480366904727,181104.0526547619,20850.417966281497
102,single,134432.63,11.0,6.0,-2.91,2097.216,130244.662,145502.734,161755.772,150581.55866666665,13318.58637877366,180946.84667857143,21133.500769688082
103,single,140143.866,12.0,6.0,8.541,2126.22,134432.63,151478.806,167983.5,150120.30433333333,13688.675731690502,180784.2089285714,21385.705391480024
104,single,146069.482,13.0,6.0,150.301,1977.25,140143.866,155996.994,172063.128,149648.01516666668,13834.529613290417,180618.49682142856,21592.351154605338
105,single,150506.894,14.0,6.0,363.306,1821.667,146069.482,159258.122,173929.018,149234.36883333334,13784.769020386098,180463.77273809523,21746.603587315676
106,single,153280.69400000002,15.0,6.0,484.754,1684.69,150506.894,160875.016,174499.316,148869.73433333333,13622.885799832655,180324.35533333334,21863.514065662424
107,single,153974.188,16.0,6.0,660.955,1442.885,153280.69400000002,160677.308,174666.468,148553.30425000002,13418.572638718724,180198.05401190478,21958.447543654827
