timestamp,target,group_id,solar,wind,hour,day_of_week,day_of_month,month,week_of_year,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
2022-09-04 10:00:00,146309.068,single,5.969,902.241,10,6,4,9,35,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,145043.656,149599.948,150340.736,185758.59933333332,29943.926270972832,203199.11286904762,36556.357024425124
2022-09-04 11:00:00,149640.308,single,516.451,834.328,11,6,4,9,35,1,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,146309.068,152827.816,153709.824,185621.47933333335,30123.69916563743,203175.1148452381,36592.56995226016
2022-09-04 12:00:00,158160.568,single,2126.659,800.908,12,6,4,9,35,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,149640.308,162030.254,164341.8,185488.66649999996,30281.184986600034,203150.89153571427,36626.84164400867
2022-09-04 13:00:00,169336.81,single,3119.616,734.612,13,6,4,9,35,1,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,158160.568,173393.012,178058.436,185327.42958333332,30421.501042632397,203114.09848809527,36669.14050451937
2022-09-04 14:00:00,180295.25,single,3226.242,805.194,14,6,4,9,35,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,169336.81,185285.442,192716.914,185158.42116666667,30501.84723566907,203062.18404761903,36710.97551038865
2022-09-04 15:00:00,191091.46,single,3266.454,704.29,15,6,4,9,35,1,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,180295.25,196349.236,208007.968,184950.4965,30517.94800898682,202988.24557142856,36744.430183079734
2022-09-04 16:00:00,201146.952,single,3134.416,691.181,16,6,4,9,35,1,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,191091.46,206344.386,222338.826,184731.4225,30451.363069457493,202887.55207142854,36753.769489705686
2022-09-04 17:00:00,208732.7,single,3030.372,738.778,17,6,4,9,35,1,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,201146.952,214405.508,234319.52,184514.86274999997,30309.125227021686,202761.4099642857,36722.96454885491
2022-09-04 18:00:00,213974.766,single,3055.435,872.636,18,6,4,9,35,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,208732.7,220951.912,243691.458,184278.49575,30087.194126712482,202609.1074642857,36644.27298195834
2022-09-04 19:00:00,218026.742,single,2970.746,1044.655,19,6,4,9,35,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,213974.766,225302.194,250222.21,183987.78133333332,29749.24435285195,202432.22239285713,36516.27643048623
2022-09-04 20:00:00,219986.11,single,2757.853,1292.097,20,6,4,9,35,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,218026.742,227414.834,255845.436,183684.63749999998,29344.259531115527,202240.58270238095,36348.064251996024
2022-09-04 21:00:00,219827.3,single,2109.016,1564.096,21,6,4,9,35,1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,219986.11,226594.888,257879.094,183375.10733333335,28898.725303947584,202027.13433333335,36136.06403764622
2022-09-04 22:00:00,215557.174,single,784.145,1796.952,22,6,4,9,35,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,219827.3,221662.654,254522.2,183093.1245,28488.777364866506,201800.6355595238,35902.3885870488
2022-09-04 23:00:00,209513.428,single,36.639,1870.85,23,6,4,9,35,1,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,215557.174,213453.678,246151.194,182838.7295,28154.691262995635,201568.7008809524,35684.96162542059
