timestamp,target,group_id,solar,wind,hour,day_of_week,day_of_month,month,week_of_year,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
2020-01-01 05:00:00,158364.942,single,-3.015,5079.214,5,2,1,1,1,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.0,1.0,,,,,,,
2020-01-01 06:00:00,155147.428,single,-3.086,4778.677,6,2,1,1,1,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.0,1.0,158364.942,,,,,,
2020-01-01 07:00:00,152404.272,single,-3.106,4240.8,7,2,1,1,1,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.0,1.0,155147.428,,,,,,
2020-01-01 08:00:00,151348.068,single,-3.163,4304.538,8,2,1,1,1,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.0,1.0,152404.272,,,,,,
2020-01-01 09:00:00,152476.082,single,-3.165,4157.699,9,2,1,1,1,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.0,1.0,151348.068,,,,,,
2020-01-01 10:00:00,155234.988,single,-3.139,3905.225,10,2,1,1,1,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,1.0,152476.082,,,,,,
2020-01-01 11:00:00,159527.608,single,-3.145,3529.245,11,2,1,1,1,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.0,1.0,155234.988,,,,,,
2020-01-01 12:00:00,163184.988,single,66.205,3724.779,12,2,1,1,1,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.0,1.0,159527.608,,,,,,
2020-01-01 13:00:00,164383.994,single,493.971,4556.911,13,2,1,1,1,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.0,1.0,163184.988,,,,,,
2020-01-01 14:00:00,165382.972,single,954.088,4737.343,14,2,1,1,1,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.0,1.0,164383.994,,,,,,
2020-01-01 15:00:00,165491.858,single,1057.862,4570.078,15,2,1,1,1,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.0,1.0,165382.972,,,,,,
2020-01-01 16:00:00,164801.554,single,1061.181,5058.583,16,2,1,1,1,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.0,1.0,165491.858,,,,,,
