Model,MAE,RMSE,MAPE,sMAPE,R2
LinearRegression,4914.873889172328,6042.526976620711,0.0278112478391025,0.02835114212808,0.923330104926978
RandomForest,2070.5987997563816,2719.7277589402265,0.0118591257985065,0.0118586859807805,0.9844676009100176
XGBoost,2665.832202629544,3415.569270924162,0.0152366594039634,0.0152388611957387,0.9755029455072356
LightGBM,2585.8792770351884,3367.026995759086,0.0147435415013766,0.0147303119307207,0.9761943047403154
LSTM,173634.65831218177,174970.86835112175,0.9981648097669714,1.9926729124094704,-64.72377424106989
GRU,173635.4095103657,174971.6138153635,0.99816919822538,1.9926904009895712,-64.72433427518713
TFT,4904.713666666667,5508.038919279432,0.026651503695114927,0.02625333958735758,0.5978046739063183
